,text_cleaned,Z1,Z2,nb_words,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,target
221,first dream research something library close early leave go lunch din hall huge like size grand central gary sort dance sue try talk get raspberry mandarin orange flavor avocados live band reason know however new york babysitting boy preston myspace friend come play find preston friend arrive brown haired girl boy look much old preston boy german old brother age brother really cute ask watch brother hour give preston watched german boy instead finally old brother come back coffee take train back school state go back city living apartment across street jennifer garner teach grade ben stiller living want go jennifer classroom meet side street love poodle fluffy agree meet later ice cream train run apartment ruin everything mother scramble scuffle lose fluffy find skye fritz alive step onto street cute german boy saw mother thought swedish brother hang around train wreck father mother drive take away want show front francine friend hop backwards window wake,10.555662,6.5271444,332,4,7,6,4,6,8,4,11,10,13,0
466,last night dreamt father sick die first come home long trip everybody say dead realize still alive real sick home hospital lay bed seem want eating cereal triangular box family come town really want see want alone let see else wake actually wipe real tear eye remember much,5.491533,11.146323,130,1,3,2,2,1,3,1,4,2,2,0
348,last night dreamt house car gotten alarm somebody paranoid burglar break well paranoid thing go first car kind afraid turn radio afraid move anything know go little click turn another little click turn really sure exactly house afraid people come door ring doorbell forth dreamt go stay late bake cooky mike chelsea come even well come fortunately alarm go roll dough start cut cooky fade consciousness,5.276799,11.163084,175,1,1,1,3,1,2,1,1,5,3,0
347,kind dumb dream last night dreamt buy suv like minivan like type thing multi band receiver like scanner thing could also receive fm signal like whoopee wow look sit try figure way tape slip wrong tape anyway way fire station get stop minute know anyway get like walk boardwalk father show talk buddy show time turn green truck go start engine show good sound system sound stuff start engine start uh oh rotten egg,5.3126736,11.121852,181,0,3,0,1,3,0,1,7,2,3,0
424,last night crazy dream remember go real clear head morning mother snore next want wake anyway dreamt reason sink need prim instead pump kitchen sink reason need run great big hose pump outside kitchen instead sink spray hose prime pump hose spray sink prime sink spray hose sink faucet spray hose garbage disposal run garbage disposal make horrible horrible sound horrible feeling somehow notion like stay long party leave sink run go something stupid like make sound really scar pretty sure think pretty sure heard somewhere know know remember kind stupid,5.4058733,11.186889,256,3,4,3,3,4,3,1,5,7,8,0
406,last night really crazy dream aquarium kind go elevator walk along hallway fish tank either side notion go serve u lunch get time lunch elevator crazy stuff stop one floor like little sit area dreamt sudden juxtapose home monitor read child book like variation little mermaid keep dream little mermaid slightly different detail story like time dreamt instead eric save drown reason ariel need cpr order break ursula spell instead kiss eric give two breath human breathe ariel could stay human forever instead kid rat man,5.3931875,11.244093,193,1,1,0,1,1,1,2,2,2,4,0
206,dreamed spanish city group afraid go upstairs rickety ladder sleep girl stay downstairs sleep boy aidan care mason want sleep rest boy judith house mr frank make babysit son make sure plant dog anything eat billy call hung hi disconnect phone swore ever talk anyone ever,9.392336,12.571646,110,0,0,0,1,0,1,0,1,3,3,0
241,okay dream place group must still spain speak spanish sometimes kind stuck go see somebody ice skate rollerblade kind trick like rollerblade hurry place jump escalator go twice fast regular one start like jump escalator go really fast arrived top ramp stop sat edge ramp stop foot roll ramp like hang middle floor think another dream think early see show another dream dinner eat eat eat thing finish course already spanish guy serve thing tray like six compartment take two spoonful tape work horrible tape,5.4944777,10.974733,235,2,1,2,2,1,1,0,3,2,4,0
305,either january february think january remember much dream last night let sleep like morning kind doze different little scene go one remember back home town course thing go chicken course think three three year also cow mini mini mini miniature cow like size chihuahua dog kind keep eye chicken stuff like would run dog chicken chicken really remember kind situation except pick hold show kid porch like chihuahua person would pick chihuahua dog go around front gate put yard ran kind make friend chicken wake,5.5021667,11.200611,227,0,0,0,1,1,0,0,2,0,2,0
130,dream go college similar high school school meeting day address issue diversity asleep night boy come room write name address phone number ceiling apparently initiate important moment understand talk terrorist bomb rome angel demon also dream tv show kill wild cat except weapon lastly dream ed rifle stuff know,10.611135,6.996762,121,2,0,2,2,0,2,2,3,4,1,0
307,get lot update tape first couple night ago dream come home trip way home stop school kind renovate first librarian leave library second lobby renovate everything bathroom amaze turnstile call yoo hoo turnstile say yoo hoo go mother talk eat lunch lobby continue home house renovate bed dining room tape player sit top monitor shelf full book think strange old fashion antique bed call dench bed last night kind hodge podge dream first really kind scary dream girl teenager house eat candy first give one candy pot know make give good go room big accordion shape candy near make short breath breathe well give piece almost ready pas run room wake gee know oh another little dream night canada russia go war reason go get inside canada father think go videotape whole thing know think,5.4273167,11.169575,360,0,5,0,1,3,1,2,6,3,9,0
12,last night dream walk swamp bog thing walk come across set bunk bed stack one another people sex want join want dredge mud saw jayden aaron fish frog aidan ask prom even know prom close keep walk finally come end swamp dorm reason bellah follow accept student day something try find dorm room completely impossible instead hallway room huge ballroom lot small dark corridor find room finally walk around forever find room outside stack book balloon name bella go yet another huge room one cooking show fritz dog try guess kind sandwich make get tickle every time get wrong guess pb get tickle wake laugh,10.665514,6.551671,233,0,3,2,1,5,2,2,5,6,8,0
16,dream sit one picnic bench soccer camp aaron discus anna karenina two character mix something really frustrate know right book start look mother drive pick leave suddenly first day school history wing ed try show something pull somewhere middle nowhere wyatt want show something different begin pull opposite direction chaos reason also parent weekend people everywhere middle everything gwenyth paltrow sing blue exhaust finally go dorm way meet someone give pancake want feed maple dog take bite pancake really good near science building dog come nowhere begin bite angry scar run room houk room completely desert except queen size bed middle room laura ashley sheet secret passageway real room maria zoey get dress realize clothes small borrow maria hideous clothes andrea finally go back main building realize schedule figure class search everywhere go mailbox find jessica come tell teacher try something different first day school everyone would go class whenever want see like go english history history mr singer bring u soccer field car race lay middle field begin squirt mayonnaise place start recite speech abraham lincoln one found weird though woke,10.66548,6.5522437,422,4,4,5,3,5,6,4,9,10,13,0
470,last night kind bizarre dream dreamt look somebody fundraiser catalog kind junky expensive stuff one thing easter bunny karaoke easter bunny sang popular song think cool thing get order online go crazy website finally find order another dream guess seem contiguous sudden go meet chorus countryside high competition thing sit car whatever reason almost late another school parade past u want jump line screw order wait go raced warm room find black shoe white shoe mother say josie probably notion say worry wrong day anyway suppose come different day another dream dreamt tv commercial advertising like frankenstein series like show like jag show madonna talk victor say almost like kid play first say something know know let create another person think like whoa oh yeah little transient dream empty vitamin bottle mother want put outside chicken say let give chicken nothing treat say okay let give chicken nothing treat get ready put outside realize still half vitamin put back fridge stupid wake,5.4371734,11.305563,394,2,8,2,3,8,6,5,8,10,11,0
586,last night dream awake sore right bicep dream child family twin baby one slid ramp walkway bedroom injure head something get food father car go store person accomplice sign receipt luciano pavarotti commit credit card fraud sort play structure think arm sore think throw something little kid may medicine ball around know else might get sore muscle,10.082902,10.820841,122,2,1,0,1,1,2,0,3,3,5,0
437,last night dreamt bunch celine dion cd somebody give like one two add collection somebody house come home box cookie cracker thing two cd loose box without case take wash water get cookie crumb goo put jewel case one professionally three extra like hand make hand decorate home burn dreamt go put celine dion cd order come order release start notion sing part world mermaid movie really jodie benson one cd pink hearts one like handmade put one thought one part world like bunch stuff one collector series cd like thought could organize woke,5.170458,11.1209545,248,0,1,1,1,0,1,0,1,2,1,0
505,guess hot tub group people come perhaps five guy another girl see somehow atmosphere quite friendly somehow cut guy next head shoulder tan brother stuart one friend huddle around kitchen tv cute boy tv point one like say bashfully let anything else,4.6400285,8.727414,87,1,1,1,0,1,0,1,3,1,4,0
428,day christmas today dream school father class kind watch kind like mother come sometimes health class substitute black woman sit back let kid run wild father get mad go call school everything everything could get fire say never come school dreamt school like system boardwalk plank exit level stuff want get tippy top remember exactly tell father would meet clock like walk around different place thing come dive ramp thing like walked water father right bottom talk somebody like wad around water time dream home involve concert information mr dougherty go take monitor read woke,5.316021,11.122172,247,1,3,1,1,2,4,1,6,5,4,0
563,dreamt online friend jeremy meet place like bayou far home like go mobile home park across street come white car girl think name holly jeremy right height white rather japanese blonde hair walk around bit remember much else first arrived car break girl put apple juice something radiator replace water fix problem,4.5358896,8.662275,100,0,2,0,2,2,2,0,3,2,2,0
451,last night dreamt gear graduation party father set salad bar kind remind sound board salad go place faders go okay anyway salad bar set kind know put mind sound board except faders front salad go rest pot would normally go father try get mathematical problem see people would get salad divide evenly people go get however much want kind dumb know lately real bad put dream tape first wake best time say oh wake voice sound little good forget like blah even sound half asleep capture everything wake go,5.40355,11.166723,222,1,3,1,3,2,2,1,5,5,4,0
446,also dream another song learn chorus mother help learn like read music would play note keyboard would sing know learn song sight read well pretty different several octave key like right instead leave dreamt well actually dream keep get interrupt phone call request father people come move around house kind know know heck finally dream mother like stash away work room,5.338051,11.086457,159,0,6,1,0,6,4,1,7,3,10,0
186,dream move dorm room never move old room go clear stuff room new freshman could move fell asleep pack dream hockey game play instead pad uniform wear white bath towel really afraid go slip skate,10.694317,6.6936893,89,0,1,0,1,1,1,1,1,3,2,0
191,dream graduation concert music building junior wear teal think sit conrad arthur gianna take picture really nervous think go stage point remember,7.0500383,10.33674,58,0,2,0,2,2,1,1,2,2,3,0
197,dream night anthony,10.721697,6.832452,7,0,0,0,0,0,0,0,0,0,0,0
484,feel really bad remember dream wake today vague memory stay hotel conference like type thing remember everything like father bathroom clean sleep sleep never day father decide go turn tub faucet make flab naked bathroom come bathroom walk room totally dark nobody could see people hallway room decide go back bathroom go wrong bathroom go men room guy take shower clothes everything even really notice okay go back bathroom thing kind okay oh kind get clothes take walk around come stair go back room lady come see like get portable radio call audio man dan dram name really dan dram call dan drama dome want help like strange man end wake dreamt back hurt really really really bad fell around,5.2635384,11.160613,305,2,2,1,2,1,4,0,3,6,4,0
458,last night stupid dream dreamt babysitting mrs layton son name tweetie like five year old think nothing suppose drive somewhere want u drive car tweetie felt comfortable say make car tweetie minivan like type thing real complicate circuitry secondary circuit like insert key special little thing move seat forward back mother go drive happy meal fast food place sit sit sit line take forever sit mother kind mess around front sit tweetie back mother say radio mr layton tweetie car like remember,5.3076563,11.055137,196,0,3,0,0,5,1,0,5,3,8,0
299,last night dream elizabeth rid home school get car start walk dirt road tell husband mother father walk dirt road know wood geese around baby geese little area saw somebody come behind u start shoot somebody accuse u go inside mother spill root beer bed talk good take care baby really one probably never,9.520561,11.025077,142,2,3,1,2,4,1,1,4,4,4,0
553,office like elementary school mother go something go something wait moment remember blonde haired boy somehow begin dance much taller stereo play music dance boy make mention expect kiss smile nudge nose next right ear tell go kiss quickly please mother come point situation seem faze dance end boy smile unspoken understand last time,10.346803,12.562793,145,0,5,2,0,4,2,1,3,3,5,0
503,mother drive home park saw move star light pull slowly star work way toward car let come driver side window hover take shape hummingbird communicate subconscious moment fuzz like baby chick look like fuzzy inside artichoke,12.366748,9.387301,74,0,2,0,0,3,1,0,2,1,4,0
116,dream library sunday huge practically size entire main building rain outside every sunday go athletic center reason sophomores one sunday decide want go anymore cut stayed library jackson wake,10.640929,6.598976,71,0,0,0,0,0,0,0,1,0,6,0
510,switch class one teacher strict reprimand something go back history pick old test something get old assignment best friend emma jenna jose nowhere around rather leave dilly dally never show hop wait everyone empty consider take paper waver grab thing go take paper decide keep dilemma course jenna get preoccupy something else emma however suggest idea already mull admit think come grabbed think serious completely shock oppose take know exactly assignment believe perhaps autobiography rather u history whether paper another one mexican flag emma make comment later remember either go tube pull head jose duck bathroom,9.050448,5.3400826,224,1,0,0,1,0,0,0,0,1,2,0
573,dreamt mother whomever actually mom really sane stay community house shelter take toaster bath electrocute woman enter unknowing share mother fate four stall try keep young boy enter take home family section tent stall like train sleep car build hard find stay police say mother end like hamburger still panic ever start cry death,10.261868,12.198907,112,1,4,3,3,2,3,2,3,6,7,0
126,dream post instead look caleb look bud saw sleeping room guess must look really hot sudden start like take spanish quiz kid class raft middle bay alligator keep drag u water one u would try save alligator would grab u park lot cv huge black suburban suppose late night horrify see father would probably yell past curfew try drive away realize drive run freddie prinze jr way home horrify apparently ok say really sarcastically thanks bea thanks lot happy knew name sad run,10.668312,6.5494633,194,3,1,0,2,3,2,3,4,6,3,0
132,dream move hannah house florida get huge room overlook pool wake,10.597511,6.652054,26,0,0,0,0,0,0,0,0,0,1,0
572,another violent dream first brother stuart shoot poison fill straw jack box get mission old best friend candy along old picture much game anymore whole series thing try stop bad guy suppose way like video game screw something first time start thing like climb barn roof perfect timing release close electrified gate farmhouse building chase guy across street wait go get ammo something hid behind sort red rug lot people around like sort reenactment something watch foot red piece fabric behind hide wooden building know partner go target come back duck building behind corner shoot even though gun poison straw probably take take effect one reason pursuit take long blood bubble hole shirt want something help especially since seem repent,14.591336,9.757251,252,5,5,3,7,2,3,2,4,5,5,0
296,last night two odd dream first dream mother go take boat fletcher people like little parade channel park feed pigeon pond get go home go garage kind climb ladder get boat mother start make sure plenty fuel stand watch run kind nervous shut hitch car drive street know parade remember much,5.328465,11.119594,144,0,3,0,2,3,1,1,2,3,4,0
474,dreamt hear dixon want bring stuff day game foster field say man go whirlwind remember anything else,10.459225,9.674166,51,0,0,0,1,0,0,0,0,1,0,0
468,pretty odd dream last night dream english reading literature book read story man like ob obsess people know people feel safe yet thing really make really make feel safer like example want put little alarm thing kind sound like back alarm near people house would always know well would awful wanted wait sleep say anything need cool breezy night think go tap plumb pipe stick line turn water water would go activate also want put elevator people get stick could make enough racket heard well finish story start look question oh walked english class girl name marilla sits next internship seminar english class walk go stair set land stairwell little sound booth record studio like type thing elizabeth boy sat listen tape band play monitor face u microphone want fade go sometimes bad habit use necessarily bad habit habit use two finger move faders instead one want move small increment two finger go adjusted faders elizabeth kind surprise two finger grip say use one finger like two finger precise time wake,5.3034086,11.235102,414,3,4,4,5,4,4,3,4,10,8,0
60,dreamed whole floor common room watch monster inc mummy drinking soda reason fell shark pit ed wake,10.738548,6.747075,41,0,0,0,0,0,1,0,0,3,1,0
249,really strange dream last night dreamt mother father canada go drive come get go back cabin mother drive say father wait cabin try get stuff together look little personal tape player unit find started door start drive sudden father appear passenger seat remember drive cabin get cabin father stress importance quiet stuff force make turn sound equipment happen room cavern look like workroom turn clicked power switch sound still blast full level stop cd player try turn last night funny dream first dream devil vision room elizabeth go take test reason come librarian see u come come talk u elizabeth tease say yeah jasmine messing room go back door field thing mother try find place practice song chorus anybody listen tire tell sigh kid around stand tall thing start sing sudden church audition front mr dougherty mr hartley give song completely range keep screw stuff microphone board right behind try adjust thing make sound little bit well wake,5.2288065,10.9545765,407,3,9,1,3,2,3,1,5,6,12,0
256,whacky dream last night dreamt school elizabeth run medium center full speed ahead tumble roll hoping could get catch want want come back knew leave dust want leave dust come back bumped face face librarian start tell like elizabeth tell father back alarm scar little understand afraid oo sound name oo know never think consciously weird ooo oo ooh anyway fire headquarters supposedly play computer game virtual reality run stair like three quarter birdcage hold onto around body like hold bump sharon george wilson start say oh hey ya like trip river wake,5.335464,11.1367655,243,0,2,1,3,0,1,3,2,5,3,0
167,dream end school year everyone pack go home pierce brosnan order people around,9.911528,10.716009,28,0,0,0,0,0,0,0,1,0,0,0
169,dream steal someone blanket fire freak throw blanket bed cold rest night,9.801775,10.239298,35,1,0,0,1,0,0,0,0,2,1,0
360,last night kind odd dream first dream father kind remodel fan black blade air conditioner mount ceiling go control wall fan switch remember know shut air conditioner ice cold go tell mother come shut dreamt mother room rack cd player like box machine go system stuff kind silvery little design front try figure work stuff connect amplifier anything know get sound remember pretty kind neat thinking oh could finally play cd maybe start get rid tape dream mother tape file make cd get rid tape think save could recycle say naaah next another little dream figure dreamt ice cold dream fan make cold get turn go back sleep dreamt fair thing mother kid one booth watch mother go go something bathroom mother tell know stuff celine dion like address phone number want tell u guess know baby doctor blab tv call obstetrician mother woman baby pediatrician mean baby pregnant mother mother pregnant baby mother mean mother go baby baby go mother obstetrician yeah mean anyway obstetrician dr rosenwax blab tv anyway duck geese hang kid tame another booth something crawl booth mother air vent grate tent thing crawl tent material mother sit nothing mini disc recorder wlfa personal cd player next thing know rid home car tim dil peterson talk edit stuff forget personal cd player could transfer song mini disc player could one thing job wake,5.2547207,11.135185,597,2,4,2,1,5,4,2,10,6,8,0
10,dream give tour high school enter chapel pitch black could see nothing except little boy laptop jump greet launch discussion wireless internet campus want show work turn light really dim shock see people pews really old like boy laptop go program mess around computer light shut accord indicate connect internet surprise impress lose tour bother go downstairs mailroom find everyone happy excite carry eat candy chocolate rise dress pink say happy valentine day surprise idea valentine day really dark find mailbox yet could see friend stuff finally start open mailbox leah explain much candy receive give rise open box find piece candy feel reject walk back upstairs light remember hearing voice behind call name look behind see sam run toward one rise give kiss cheek leave puzzle go back dorm fell asleep really quickly wake late night fire alarm rang hannah run room secret hallway never new wait train pick u bring u safety train finally come pirate steal control kidnap everyone run hide nearby bathroom come look cut razor spray eye hairspray basically defeat beauty product weird wake,10.637691,6.5924854,402,3,6,4,5,5,7,6,8,14,10,0
318,last night dream arlene visit oh first dream play school school auditorium look little different sound booth like floor balcony mezzanine ground like floor balcony window like another sound booth backstage girl know supposedly arlene show get sound booth one floor mezzanine little trap door take side wall little crawl space could barely fit someone big fat sound technician suppose slither go booth lay little space mix think claustrophobic would never make sound booth backstage easy open door go dreamt mother kitchen play wee sing tape dance blue bird like slow dance arlene rise want give left bright sun wilt time give,5.478246,11.254608,274,0,5,2,0,4,4,1,6,3,4,0
403,last night kind strange odd dream dreamt major house remodel door jamb stairwell little arch hallway go need set fire make straight thinking would set smoke detector would make u clean stuff like mother shed whole basket like stuffed animal stuff little couple towel couple little basket couple bucket know little miscellaneous stuff go say okay want throw come stuff animal thing one teddy bear really cool sit chair chair cover towel towel like real pretty like star seashell glittery stuff lift towel talk sing teddy bear keyboard lap would like sing song play like like little kid thing stuff anyway really thought cool want keep like babysitting go cover back towel nobody would see towel totally miss towel go find anywhere like part chair part thing tell real fancy since find towel sit basket cover ordinary towel come house second let think minute think father tv one parade thing use make real little go around floor remember go go house think go picnic table clean bring teddy bear somebody throw disguise thing remember woke strange man,5.3596525,11.219841,454,1,5,0,3,5,2,1,7,2,9,0
255,morning mother father suppose leave town morning sound little distant last time dream mr dougherty spanish class go teach u sing star spangle banner appropriate mr dougherty come sits besides say saw ap spanish really dream translate star spangle banner spanish staff write sheet could get ap credit start recall perfectly start first line oh say see puedes ver sp little trouble fit dawn early light con la loof temprana de amanese sp melody really struggle later something elizabeth drive mustang somebody remember sure one thing dream translate star spangle banner could hear whitney houston sing head start cry little bit sympathy country dream course still tear eye mr dougherty come talk think disappoint everybody else get hear oh funny,5.227827,10.855136,289,1,6,1,0,5,6,2,7,4,8,0
72,dream proctor switch hannah live bundy proctor take u lake take walk huge octopus live bundy tentacle block door way walk proctor throw worm horrible get school sue bake krispy kremes wake,10.590767,6.635042,79,2,0,2,1,0,1,0,2,2,1,0
419,last night dream kind blah day school go buy lunch really money come back cafeteria run handful people say put like secret thing double vision kind obscene absurd keep secret librarian elizabeth think tell ask could put take two girl go somewhere little area like bathroom like slide couple thing take clothes take shower sit swing like type thing talk two girl concern people come see every time somebody would come near door would duck anyway,5.4208264,11.146373,186,1,5,1,1,2,1,1,4,2,3,0
87,dream brother electrician sort install tv house trailer trailer park scary trailer park next chemical plant always release chemical horrible thing air really loud trailer work construct like airplane brother try figure fly dream exam period math exam reason instead go classroom go movie theater see love actually seem weird though caroline go tell save seat go get ice cream want butterscotch ice cream one vendor mother line ahead soon turn woman close everything really annoy go upstairs junior senior boy know really wanted butterscotch ice cream one instead diet coke everyone leave movie theater guess miss movie find friend realize dress fall leave hurriedly think trick mind hop trick mind saw lou walk din carry something hair really short notice wear terrible look shoe decide stop liking reason go back friend sudden look deep abyss like mordor lord ring run away fast could run math teacher notice miss exam thank god wake,10.660324,6.5702877,354,2,4,4,4,7,3,4,8,7,13,0
48,remember lou matthew desert island somewhere matthew go see lou fly airplane make cloth overhead girl become sort sad woke,10.739241,6.6642156,49,1,0,1,2,0,1,0,0,1,1,0
